series,specimen_number,failure_strength_MPa,n_total
AR,1,93.24,10
AR,2,94.57,10
AR,3,99.89,10
AR,4,103.31,10
AR,5,105.22,10
AR,6,108.83,10
AR,7,112.90,10
AR,8,115.41,10
AR,9,121.42,10
AR,10,129.66,10
SA8,1,44.89,11
SA8,2,48.03,11
SA8,3,49.34,11
SA8,4,49.34,11
SA8,5,50.35,11
SA8,6,50.72,11
SA8,7,50.92,11
SA8,8,50.98,11
SA8,9,51.22,11
SA8,10,52.17,11
SA8,11,55.51,11
SA25,1,14.20,11
SA25,2,16.70,11
SA25,3,16.96,11
SA25,4,17.41,11
SA25,5,18.57,11
SA25,6,18.93,11
SA25,7,19.21,11
SA25,8,19.74,11
SA25,9,19.76,11
SA25,10,19.78,11
SA25,11,20.97,11
SA6,1,39.22,12
SA6,2,41.92,12
SA6,3,43.23,12
SA6,4,45.51,12
SA6,5,47.14,12
SA6,6,48.19,12
SA6,7,48.36,12
SA6,8,48.66,12
SA6,9,49.37,12
SA6,10,49.51,12
SA6,11,50.91,12
SA6,12,53.58,12
SA11,1,39.44,12
SA11,2,41.77,12
SA11,3,42.65,12
SA11,4,43.86,12
SA11,5,44.38,12
SA11,6,44.60,12
SA11,7,44.78,12
SA11,8,45.84,12
SA11,9,45.93,12
SA11,10,46.05,12
SA11,11,46.27,12
SA11,12,48.61,12
NA_b,1,29.41,13
NA_b,2,33.42,13
NA_b,3,41.69,13
NA_b,4,43.64,13
NA_b,5,47.74,13
NA_b,6,48.69,13
NA_b,7,50.65,13
NA_b,8,56.16,13
NA_b,9,62.19,13
NA_b,10,62.82,13
NA_b,11,62.98,13
NA_b,12,66.74,13
NA_b,13,75.80,13
SA9,1,43.10,13
SA9,2,43.16,13
SA9,3,43.85,13
SA9,4,44.83,13
SA9,5,45.21,13
SA9,6,45.69,13
SA9,7,45.84,13
SA9,8,46.10,13
SA9,9,48.55,13
SA9,10,48.65,13
SA9,11,48.97,13
SA9,12,49.06,13
SA9,13,51.61,13
SA2,1,40.96,14
SA2,2,42.09,14
SA2,3,42.14,14
SA2,4,42.25,14
SA2,5,42.44,14
SA2,6,42.77,14
SA2,7,44.32,14
SA2,8,44.81,14
SA2,9,45.09,14
